usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducación,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
qblacksellj,tga64,Quinn Blacksell,qblacksellj@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
dreasonk,bwg07EvT,Duky Reason,dreasonk@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
mbloodworthl,ety717TFy,Miguel Bloodworth,mbloodworthl@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
pmityushkinm,cqt283bO@,Parnell Mityushkin,pmityushkinm@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
ctookeyn,ixe91&A7,Cayla Tookey,ctookeyn@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
jstentono,udc36p,Joyous Stenton,jstentono@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
lhollyarp,ney75bIB,Leicester Hollyar,lhollyarp@edu.com,Portugal,No,Femenino,Soltero,Si,Si,Si,0.0
kloitertonq,nzo13,Karina Loiterton,kloitertonq@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
vwinfieldr,ftp71,Vergil Winfield,vwinfieldr@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
skurtiss,cdm51w,Storm Kurtis,skurtiss@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,6.0
rsteartt,bwv67X1EWg,Rosana Steart,rsteartt@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,6.0
srosbothamu,yqw05Lw3*,Salim Rosbotham,srosbothamu@edu.com,Portugal,No,Masculino,Soltero,No,No,No,6.0
pmcneillyv,wyf29vS4f,Petunia McNeilly,pmcneillyv@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,6.0
kionw,fzr55,Kipper Ion,kionw@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
ecaulcuttx,iln19a/2,Elwyn Caulcutt,ecaulcuttx@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
sgrovehamy,ikn18,Sinclair Groveham,sgrovehamy@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
jmclachlanz,lbx47<Lb,Jdavie McLachlan,jmclachlanz@edu.com,Portugal,No,Masculino,Soltero,Si,No,No,0.0
frase10,adb85bij,Francklin Rase,frase10@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
lbaggaley11,seb58d{,Lotti Baggaley,lbaggaley11@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
gbrymner12,jot753,Gonzales Brymner,gbrymner12@edu.com,Portugal,No,Femenino,Divorciado,No,No,Si,0.0
kepgrave13,fue58,Katinka Epgrave,kepgrave13@edu.com,España,No,Femenino,Soltero,Si,No,No,0.0
abullard14,qgi62/P,Aldin Bullard,abullard14@edu.com,Portugal,No,Femenino,Soltero,Si,No,No,3.0
btrencher15,dxh79C\pq,Bradan Trencher,btrencher15@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
gmacilhench16,jhk835,Giacinta Macilhench,gmacilhench16@edu.com,Portugal,Si,Femenino,Soltero,No,No,Si,3.0
ehaycraft17,pno11O@nd,Everett Haycraft,ehaycraft17@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
myoselevitch18,cvy33gyR,Monti Yoselevitch,myoselevitch18@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
mleasor19,pzr53g@G,Martita Leasor,mleasor19@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
nludgrove1a,iff91ZdV<,Nels Ludgrove,nludgrove1a@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
avon1b,tsl96Bb0us,Aidan Von Salzberg,avon1b@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
areville1c,ajz95.g,Amii Reville,areville1c@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
rsmallsman1d,pqt92s3,Ree Smallsman,rsmallsman1d@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
ssarjeant1e,aju91,Stevie Sarjeant,ssarjeant1e@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
hlabb1f,wcb52+F,Hettie Labb,hlabb1f@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
mshurlock1g,cqi1068,Malory Shurlock,mshurlock1g@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
gdavidi1h,pgh63(+nAm,Gery Davidi,gdavidi1h@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
rnendick1i,ndg36,Robinet Nendick,rnendick1i@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
jsinnett1j,xht73C,Jeniece Sinnett,jsinnett1j@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
rhabbes1k,sgs19,Royal Habbes,rhabbes1k@edu.com,Portugal,No,Femenino,Casado,No,No,No,0.0
dbrookesbie1l,voe47h,Dominga Brookesbie,dbrookesbie1l@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
dsoares1m,ism743,Dacey Soares,dsoares1m@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
fflanne1n,seh53,Franky Flanne,fflanne1n@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
jpadkin1o,kxu39r5QUK,Jenilee Padkin,jpadkin1o@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
goleszkiewicz1p,mzm26$y$6,Gillie Oleszkiewicz,goleszkiewicz1p@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
benric1q,ksz74dy$r,Bo Enric,benric1q@edu.com,Portugal,No,Masculino,Soltero,No,Si,Si,0.0
cdegli1r,bjr10l)Y,Caroline Degli Antoni,cdegli1r@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
sadanet1s,vdm41A(,Sayre Adanet,sadanet1s@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
rrosedale1t,dzu72}\W,Rebekah Rosedale,rrosedale1t@edu.com,Portugal,No,Masculino,Divorciado,No,No,Si,0.0
lservant1u,htp87a,Lynnett Servant,lservant1u@edu.com,Portugal,No,Masculino,Soltero,No,Si,Si,0.0
bgrabham1v,jbi29,Blinny Grabham,bgrabham1v@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
lmackerley1w,oqv72\1jeQ,Lucina MacKerley,lmackerley1w@edu.com,Portugal,No,Masculino,Soltero,Si,No,No,0.0
hdowling1x,svw72Z&4,Horst Dowling,hdowling1x@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
bteasdalemarkie1y,hef150,Beniamino Teasdale-Markie,bteasdalemarkie1y@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
nmasson1z,xio97}_X9,Nevin Masson,nmasson1z@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
dpiccard20,swn49us,Demeter Piccard,dpiccard20@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
fpaskin21,oid05I9I*,Faber Paskin,fpaskin21@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
dthow22,qpy37j)?,Debby Thow,dthow22@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
wwoolger23,iox27_~V#,Waneta Woolger,wwoolger23@edu.com,Portugal,No,Masculino,Soltero,Si,No,Si,0.0
mriolfi24,flb84%,Morgan Riolfi,mriolfi24@edu.com,Portugal,No,Masculino,Soltero,No,Si,Si,0.0
hfitzsimons25,cxn57kE,Hedi Fitzsimons,hfitzsimons25@edu.com,Portugal,No,Masculino,Soltero,Si,Si,Si,0.0
hdavydochkin26,kli44vBrn,Hermon Davydochkin,hdavydochkin26@edu.com,Portugal,No,Masculino,Soltero,No,Si,No,0.0
lbaugham27,xwx07hR4,Lynea Baugham,lbaugham27@edu.com,Portugal,No,Masculino,Casado,No,No,No,0.0
adudmarsh28,koj04<,Ania Dudmarsh,adudmarsh28@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,3.0
csalmons29,sat90KjI+,Claiborn Salmons,csalmons29@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,3.0
iparnell2a,jkf94FVlO,Inna Parnell,iparnell2a@edu.com,Portugal,No,Masculino,Soltero,Si,No,No,3.0
ttoppin2b,mtf34}f,Tedd Toppin,ttoppin2b@edu.com,Portugal,No,Masculino,Soltero,No,No,No,3.0
gclevely2c,slm85strk{,Gwenni Clevely,gclevely2c@edu.com,Portugal,No,Femenino,Casado,No,No,Si,0.0
kmcleman2d,ydv390z,Kat McLeman,kmcleman2d@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
erolston2e,mxz3411!,Elyssa Rolston,erolston2e@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
sfoister2f,vrb02F,Saw Foister,sfoister2f@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
dhamley2g,yvz45Al,Dwight Hamley,dhamley2g@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
hyezafovich2h,hra21E,Hershel Yezafovich,hyezafovich2h@edu.com,Portugal,No,Masculino,Soltero,Si,No,Si,0.0
deallis2i,wrn05wwO8,Deina Eallis,deallis2i@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
detherson2j,nvp24\=TL,Del Etherson,detherson2j@edu.com,Brasil,No,Femenino,Soltero,No,No,Si,0.0
jtaffurelli2k,kxj20u0S/=,Janot Taffurelli,jtaffurelli2k@edu.com,Brasil,No,Femenino,Soltero,No,No,No,0.0
tmenaul2l,pjc81$a,Torie Menaul,tmenaul2l@edu.com,Portugal,No,Femenino,Casado,No,No,No,0.0
devemy2m,vma95<JAJS,Domenico Evemy,devemy2m@edu.com,Portugal,No,Femenino,Casado,No,No,No,0.0
jlatch2n,tbh97{hos,Jemmy Latch,jlatch2n@edu.com,Santo Tomé y Principe,No,Masculino,Soltero,No,No,Si,0.0
gheinz2o,ktg69Qq,Glyn Heinz,gheinz2o@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
ldanev2p,gyo17,Lucinda Danev,ldanev2p@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
ccuerda2q,dfc18@%<4,Clara Cuerda,ccuerda2q@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
scordery2r,yjx94,Stella Cordery,scordery2r@edu.com,Portugal,No,Femenino,Soltero,Si,No,Si,0.0
koliverpaull2s,ptv61)vN?k,Kenna Oliver-Paull,koliverpaull2s@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
abethel2t,rta26sx,Archambault Bethel,abethel2t@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
sbarrass2u,woq32XmbA,Smith Barrass,sbarrass2u@edu.com,Portugal,No,Femenino,Casado,No,No,Si,0.0
edabernott2v,tcj07R,Eadmund Dabernott,edabernott2v@edu.com,Portugal,No,Femenino,Divorciado,No,No,No,0.0
nchilton2w,jxv46E9B&,Norma Chilton,nchilton2w@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
srubenov2x,pjp108~rF,Simon Rubenov,srubenov2x@edu.com,Portugal,No,Femenino,Soltero,Si,No,No,0.0
opedden2y,owa90p),Osmond Pedden,opedden2y@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
rkleiser2z,jga71g~#,Robinson Kleiser,rkleiser2z@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
mhalgarth30,dwc66GtZf),Mariam Halgarth,mhalgarth30@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
gfavey31,ctm794e>_!,Genovera Favey,gfavey31@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
nbolderoe32,rfg97LZ0M,Niven Bolderoe,nbolderoe32@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
bbremmer33,wrj00W=Hk,Briana Bremmer,bbremmer33@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
dlippiello34,enm26r{!,Dayle Lippiello,dlippiello34@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
lboothjarvis35,rek25J,Laurie Booth-Jarvis,lboothjarvis35@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
mquakley36,ohm68!!,Marabel Quakley,mquakley36@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
daleksidze37,kkv54j,Doy Aleksidze,daleksidze37@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
bcarabine38,zep38SvKYa,Bren Carabine,bcarabine38@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
rbonnesen39,kpr632u,Rose Bonnesen,rbonnesen39@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
kminshall3a,zlm06d#,Kylie Minshall,kminshall3a@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
scoggins3b,ikr09\RZE5,Sutherlan Coggins,scoggins3b@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
lvannozzii3c,pxx861_,Libbey Vannozzii,lvannozzii3c@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
awareham3d,rxf63Te,Allen Wareham,awareham3d@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
wpotteridge3e,znx72Gy~,Wilbert Potteridge,wpotteridge3e@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
rguilaem3f,xde54S,Ronna Guilaem,rguilaem3f@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,3.0
emcilory3g,pub78Sf,Evita McIlory,emcilory3g@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
nbinton3h,fyx47K,Neely Binton,nbinton3h@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
pcroysdale3i,kpo41E6L\%,Payton Croysdale,pcroysdale3i@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
rcrumley3j,utt54,Reine Crumley,rcrumley3j@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
acutford3k,tmn43>U0R,Antonio Cutford,acutford3k@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
gdeverick3l,vqj83/%.!,Gerhardine Deverick,gdeverick3l@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
molekhov3m,csx93szt_Y,Michaelina Olekhov,molekhov3m@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
gorbine3n,yas24,Gaven Orbine,gorbine3n@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
dshoutt3o,kko30MjYk,Durante Shoutt,dshoutt3o@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
gwhacket3p,eod47WnnK,Giselbert Whacket,gwhacket3p@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
rsymes3q,znl59w>9,Rudyard Symes,rsymes3q@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
efurse3r,mlw49*>~Y,Eal Furse,efurse3r@edu.com,Portugal,No,Femenino,Soltero,Si,Si,No,3.0
xpettit3s,pmt40q\&=O,Xena Pettit,xpettit3s@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
egirardey3t,aeb10%$,Effie Girardey,egirardey3t@edu.com,Portugal,No,Femenino,Soltero,Si,Si,No,3.0
phanselmann3u,sht34hp/o~,Paulo Hanselmann,phanselmann3u@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,3.0
bblaschek3v,uua62ktYX,Brock Blaschek,bblaschek3v@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
amackomb3w,xki58?j@T,Al MacKomb,amackomb3w@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
lhammett3x,lam545,Lay Hammett,lhammett3x@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
mmordaunt3y,zrv99_M$un,Merline Mordaunt,mmordaunt3y@edu.com,Portugal,No,Femenino,Soltero,Si,No,Si,0.0
sbantick3z,brh49,Salmon Bantick,sbantick3z@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
bgrima40,foe68aI(I,Barrett Grima,bgrima40@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
cdomange41,qeo51{|hb,Cletus Domange,cdomange41@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
lstrowther42,kyh18_we&,Lonni Strowther,lstrowther42@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
dzottoli43,owa56Mo>,Devy Zottoli,dzottoli43@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
grydings44,sqp85,Glynis Rydings,grydings44@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
kparratt45,imk89fr\,Kelsi Parratt,kparratt45@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
sperassi46,pyr92(,Shelli Perassi,sperassi46@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
rewer47,rwn81.m,Ram Ewer,rewer47@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
htanfield48,efa46Vc,Hew Tanfield,htanfield48@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
kgemeau49,dah349EAHT,Klara Gemeau,kgemeau49@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
ebuglar4a,qnc66m=,Eugenie Buglar,ebuglar4a@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
lwinfred4b,tex63(i,Lolita Winfred,lwinfred4b@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
bailmer4c,zkd99&$},Bella Ailmer,bailmer4c@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
rsuter4d,lne68aKl,Rurik Suter,rsuter4d@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
jomannion4e,mcf25a>z,Julieta OMannion,jomannion4e@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
ballington4f,emk54JHO,Brand Allington,ballington4f@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
siddiens4g,rex66@6>w?,Sherwood Iddiens,siddiens4g@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
wricioppo4h,yxf00(,Wolfie Ricioppo,wricioppo4h@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
cpendlington4i,mva32{>io(,Consuelo Pendlington,cpendlington4i@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
lmenloe4j,lpn56@o9d#,Latrina Menloe,lmenloe4j@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
ccristobal4k,bza33G,Cariotta Cristobal,ccristobal4k@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
hhemphrey4l,qex97>,Heinrik Hemphrey,hhemphrey4l@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,3.0
ssimonazzi4m,kpu73#6rQb,Stefania Simonazzi,ssimonazzi4m@edu.com,Portugal,No,Femenino,Viudo,Si,No,No,3.0
acaseley4n,dhs34)wKv7,Andie Caseley,acaseley4n@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
thicks4o,ymd66XKm>t,Tammy Hicks,thicks4o@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
tstreatley4p,rmk84~vGX{,Tucker Streatley,tstreatley4p@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
hghelerdini4q,qwj44uQc*O,Hobie Ghelerdini,hghelerdini4q@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
brusse4r,knx31V,Bruno Russe,brusse4r@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
lheugh4s,fhi27{=C#,Letitia Heugh,lheugh4s@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
wtremellier4t,rsy85~.8,Warden Tremellier,wtremellier4t@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
jrosenqvist4u,tfz11Zd1io,Joni Rosenqvist,jrosenqvist4u@edu.com,Portugal,No,Femenino,Soltero,Si,No,Si,0.0
sbladon4v,yet26TWQ,Sherilyn Bladon,sbladon4v@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
dsames4w,kiv16,Doro Sames,dsames4w@edu.com,Portugal,No,Femenino,Soltero,No,No,No,6.0
agallaway4x,bvs98,Aurthur Gallaway,agallaway4x@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,6.0
jfold4y,vht85#0SVb,Jermaine Fold,jfold4y@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,6.0
abaccas4z,gub42,Aime Baccas,abaccas4z@edu.com,Portugal,No,Femenino,Soltero,No,No,No,6.0
sferrino50,cwd02Azk,Seamus Ferrino,sferrino50@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
hveivers51,rgw58m1,Homer Veivers,hveivers51@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
tfellibrand52,xjg78i,Teddi Fellibrand,tfellibrand52@edu.com,Portugal,No,Femenino,Soltero,Si,No,No,0.0
achalfain53,wbs81Avu=!,Anastassia Chalfain,achalfain53@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
mpetronis54,xfa02EL+,Maxine Petronis,mpetronis54@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
tpurchall55,fjw02?G!k0,Trudey Purchall,tpurchall55@edu.com,Portugal,No,Femenino,Soltero,Si,No,Si,0.0
kchoffin56,sqv67ps,Kayla Choffin,kchoffin56@edu.com,Portugal,No,Femenino,Soltero,Si,No,No,0.0
rgallear57,ogh35,Rik Gallear,rgallear57@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
mmactimpany58,qyd44,Meggy MacTimpany,mmactimpany58@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
tcallander59,vni36.,Terencio Callander,tcallander59@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
fcrier5a,trz01F,Faydra Crier,fcrier5a@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
sritchings5b,rgn74,Shaina Ritchings,sritchings5b@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
cconrart5c,hbu79K,Carol Conrart,cconrart5c@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,4.0
nsherwill5d,gsj58T,Nanni Sherwill,nsherwill5d@edu.com,Portugal,No,Femenino,Soltero,No,No,No,4.0
tfilshin5e,ezu56|iS,Teodoro Filshin,tfilshin5e@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,4.0
cbrazenor5f,wic55MH,Cos Brazenor,cbrazenor5f@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,4.0
mbaulch5g,pbj28B,Myriam Baulch,mbaulch5g@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
afloyde5h,ldm55c7s,Alvy Floyde,afloyde5h@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
cskeffington5i,sxj2911c,Clevey Skeffington,cskeffington5i@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
kdimic5j,khp53,Kristen Dimic,kdimic5j@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
tmagauran5k,svd84,Tyson Magauran,tmagauran5k@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
aiacopetti5l,pjl14,Asa Iacopetti,aiacopetti5l@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
rbarkshire5m,oav22a,Robby Barkshire,rbarkshire5m@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
mbuckthorpe5n,fzf49<#>,Muffin Buckthorpe,mbuckthorpe5n@edu.com,Portugal,No,Femenino,Soltero,Si,No,No,0.0
rgoby5o,pzy73Cxt,Rock Goby,rgoby5o@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
setock5p,gfi80),Sondra Etock,setock5p@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
gchesnut5q,ncf10v,Gwendolin Chesnut,gchesnut5q@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
bfreire5r,fkl20,Benedicto Freire,bfreire5r@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
fechalier5s,bgd918L5,Floris Echalier,fechalier5s@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,4.0
oduferie5t,fcf46bo,Onofredo Duferie,oduferie5t@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,4.0
bonslow5u,alj35(s@,Bealle Onslow,bonslow5u@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,4.0
deversley5v,sly75N,Dee Eversley,deversley5v@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,4.0
dlennox5w,vra36x@{!C,Darcy Lennox,dlennox5w@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
tpelosi5x,wbt61FPs)#,Tab Pelosi,tpelosi5x@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,3.0
mdytham5y,bnd42,Mechelle Dytham,mdytham5y@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
hroskell5z,fpw57v/aj,Heywood Roskell,hroskell5z@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
ilemm60,xkp41{,Irvine Lemm,ilemm60@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
