nombreCurso,grupo,profesor,correoProfesor,nombreEstudiante,correoEstudiante,nota,periodo
Administracion para Ingenieros,3,Theda Petrazzi,tpetrazzi3s@edu.com,Katinka Epgrave,kepgrave13@edu.com,0.4,2022-3
Electiva Profesional 3,3,Juan Asipenko,jasipenko44@edu.com,Aldin Bullard,abullard14@edu.com,4.4,2022-3
Electiva Profesional 3,3,Juan Asipenko,jasipenko44@edu.com,Bradan Trencher,btrencher15@edu.com,4.4,2022-3
Electiva Profesional 3,3,Juan Asipenko,jasipenko44@edu.com,Giacinta Macilhench,gmacilhench16@edu.com,4.4,2022-3
Electiva Profesional 3,3,Juan Asipenko,jasipenko44@edu.com,Everett Haycraft,ehaycraft17@edu.com,4.4,2022-3
Sistemas Operativos,2,Falkner Brettell,fbrettell3@edu.com,Monti Yoselevitch,myoselevitch18@edu.com,0.2,2022-1
Sistemas Operativos,2,Falkner Brettell,fbrettell3@edu.com,Martita Leasor,mleasor19@edu.com,0.2,2022-1
Sistemas Operativos,2,Falkner Brettell,fbrettell3@edu.com,Nels Ludgrove,nludgrove1a@edu.com,0.2,2022-1
Sistemas Operativos,2,Falkner Brettell,fbrettell3@edu.com,Aidan Von Salzberg,avon1b@edu.com,0.2,2022-1
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Amii Reville,areville1c@edu.com,0.4,2021-3
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Ree Smallsman,rsmallsman1d@edu.com,0.4,2021-3
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Stevie Sarjeant,ssarjeant1e@edu.com,0.4,2021-3
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Hettie Labb,hlabb1f@edu.com,0.4,2021-3
Electiva de  Ciencias Sociales,2,Melinda Stancliffe,mstancliffe3g@edu.com,Malory Shurlock,mshurlock1g@edu.com,0.2,2023-1
Electiva de  Ciencias Sociales,2,Melinda Stancliffe,mstancliffe3g@edu.com,Gery Davidi,gdavidi1h@edu.com,0.2,2023-1
Electiva de  Ciencias Sociales,2,Melinda Stancliffe,mstancliffe3g@edu.com,Robinet Nendick,rnendick1i@edu.com,0.2,2023-1
Electiva de  Ciencias Sociales,2,Melinda Stancliffe,mstancliffe3g@edu.com,Jeniece Sinnett,jsinnett1j@edu.com,0.2,2023-1
Ingles 2,3,Tabby Odby,todby11@edu.com,Royal Habbes,rhabbes1k@edu.com,0.8,2021-3
Ingles 2,3,Tabby Odby,todby11@edu.com,Dominga Brookesbie,dbrookesbie1l@edu.com,0.8,2021-3
Ingles 2,3,Tabby Odby,todby11@edu.com,Dacey Soares,dsoares1m@edu.com,0.8,2021-3
Ingles 2,3,Tabby Odby,todby11@edu.com,Franky Flanne,fflanne1n@edu.com,0.8,2021-3
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Jenilee Padkin,jpadkin1o@edu.com,2.4,2023-1
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Gillie Oleszkiewicz,goleszkiewicz1p@edu.com,2.4,2023-1
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Bo Enric,benric1q@edu.com,2.4,2023-1
Algebra lineal,1,Verile Summerell,vsummerell5g@edu.com,Caroline Degli Antoni,cdegli1r@edu.com,2.4,2023-1
Calculo 1,2,Del Gayton,dgayton4u@edu.com,Sayre Adanet,sadanet1s@edu.com,1.4,2021-3
Calculo 1,2,Del Gayton,dgayton4u@edu.com,Rebekah Rosedale,rrosedale1t@edu.com,1.4,2021-3
Calculo 1,2,Del Gayton,dgayton4u@edu.com,Lynnett Servant,lservant1u@edu.com,1.4,2021-3
Calculo 1,2,Del Gayton,dgayton4u@edu.com,Blinny Grabham,bgrabham1v@edu.com,1.4,2021-3
Programacion,2,Jerrome Chafer,jchafer2q@edu.com,Lucina MacKerley,lmackerley1w@edu.com,2.9,2021-3
Programacion,2,Jerrome Chafer,jchafer2q@edu.com,Horst Dowling,hdowling1x@edu.com,2.9,2021-3
Programacion,2,Jerrome Chafer,jchafer2q@edu.com,Beniamino Teasdale-Markie,bteasdalemarkie1y@edu.com,2.9,2021-3
Programacion,2,Jerrome Chafer,jchafer2q@edu.com,Nevin Masson,nmasson1z@edu.com,2.9,2021-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Demeter Piccard,dpiccard20@edu.com,1.8,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Faber Paskin,fpaskin21@edu.com,1.8,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Debby Thow,dthow22@edu.com,1.8,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Waneta Woolger,wwoolger23@edu.com,1.8,2022-3
Algebra lineal,3,Reeba Speaks,rspeaks2r@edu.com,Morgan Riolfi,mriolfi24@edu.com,3.1,2021-3
Algebra lineal,3,Reeba Speaks,rspeaks2r@edu.com,Hedi Fitzsimons,hfitzsimons25@edu.com,3.1,2021-3
Algebra lineal,3,Reeba Speaks,rspeaks2r@edu.com,Hermon Davydochkin,hdavydochkin26@edu.com,3.1,2021-3
Algebra lineal,3,Reeba Speaks,rspeaks2r@edu.com,Lynea Baugham,lbaugham27@edu.com,3.1,2021-3
Ingles 2,2,Nickolaus Christoffe,nchristoffe2c@edu.com,Ania Dudmarsh,adudmarsh28@edu.com,3.6,2022-3
Ingles 2,2,Nickolaus Christoffe,nchristoffe2c@edu.com,Claiborn Salmons,csalmons29@edu.com,3.6,2022-3
Ingles 2,2,Nickolaus Christoffe,nchristoffe2c@edu.com,Inna Parnell,iparnell2a@edu.com,3.6,2022-3
Ingles 2,2,Nickolaus Christoffe,nchristoffe2c@edu.com,Tedd Toppin,ttoppin2b@edu.com,3.6,2022-3
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Gwenni Clevely,gclevely2c@edu.com,3.7,2022-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Kat McLeman,kmcleman2d@edu.com,3.7,2022-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Elyssa Rolston,erolston2e@edu.com,3.7,2022-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Saw Foister,sfoister2f@edu.com,3.7,2022-1
Logica y Matematica Discreta,1,Neel Irlam,nirlam18@edu.com,Dwight Hamley,dhamley2g@edu.com,0.4,2022-3
Logica y Matematica Discreta,1,Neel Irlam,nirlam18@edu.com,Hershel Yezafovich,hyezafovich2h@edu.com,0.4,2022-3
Logica y Matematica Discreta,1,Neel Irlam,nirlam18@edu.com,Deina Eallis,deallis2i@edu.com,0.4,2022-3
Logica y Matematica Discreta,1,Neel Irlam,nirlam18@edu.com,Del Etherson,detherson2j@edu.com,0.4,2022-3
Matematicas Fundamentales,2,Adrianne Cescot,acescott@edu.com,Janot Taffurelli,jtaffurelli2k@edu.com,0.6,2023-1
Matematicas Fundamentales,2,Adrianne Cescot,acescott@edu.com,Torie Menaul,tmenaul2l@edu.com,0.6,2023-1
Matematicas Fundamentales,2,Adrianne Cescot,acescott@edu.com,Domenico Evemy,devemy2m@edu.com,0.6,2023-1
Matematicas Fundamentales,2,Adrianne Cescot,acescott@edu.com,Jemmy Latch,jlatch2n@edu.com,0.6,2023-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Glyn Heinz,gheinz2o@edu.com,4.2,2021-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Lucinda Danev,ldanev2p@edu.com,4.2,2021-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Clara Cuerda,ccuerda2q@edu.com,4.2,2021-1
Electiva profesional 4,2,Nalani Jeacock,njeacock4j@edu.com,Stella Cordery,scordery2r@edu.com,4.2,2021-1
Formacion Ciudadana I : Identidades y Pluralismo,2,Rabi Iston,riston3r@edu.com,Kenna Oliver-Paull,koliverpaull2s@edu.com,0.9,2022-3
Formacion Ciudadana I : Identidades y Pluralismo,2,Rabi Iston,riston3r@edu.com,Archambault Bethel,abethel2t@edu.com,0.9,2022-3
Formacion Ciudadana I : Identidades y Pluralismo,2,Rabi Iston,riston3r@edu.com,Smith Barrass,sbarrass2u@edu.com,0.9,2022-3
Formacion Ciudadana I : Identidades y Pluralismo,2,Rabi Iston,riston3r@edu.com,Eadmund Dabernott,edabernott2v@edu.com,0.9,2022-3
Seminario de Ing. de Datos e IA,3,Libby Silveston,lsilvestony@edu.com,Norma Chilton,nchilton2w@edu.com,4.1,2021-3
Seminario de Ing. de Datos e IA,3,Libby Silveston,lsilvestony@edu.com,Simon Rubenov,srubenov2x@edu.com,4.1,2021-3
Seminario de Ing. de Datos e IA,3,Libby Silveston,lsilvestony@edu.com,Osmond Pedden,opedden2y@edu.com,4.1,2021-3
Seminario de Ing. de Datos e IA,3,Libby Silveston,lsilvestony@edu.com,Robinson Kleiser,rkleiser2z@edu.com,4.1,2021-3
Electiva Profesional 2,1,Dorian Bjorkan,dbjorkan1j@edu.com,Mariam Halgarth,mhalgarth30@edu.com,1.7,2023-3
Electiva Profesional 2,1,Dorian Bjorkan,dbjorkan1j@edu.com,Genovera Favey,gfavey31@edu.com,1.7,2023-3
Electiva Profesional 2,1,Dorian Bjorkan,dbjorkan1j@edu.com,Niven Bolderoe,nbolderoe32@edu.com,1.7,2023-3
Electiva Profesional 2,1,Dorian Bjorkan,dbjorkan1j@edu.com,Briana Bremmer,bbremmer33@edu.com,1.7,2023-3
Ingles 1,1,Bridgette O' Hanvey,bo4c@edu.com,Dayle Lippiello,dlippiello34@edu.com,0.2,2021-3
Ingles 1,1,Bridgette O' Hanvey,bo4c@edu.com,Laurie Booth-Jarvis,lboothjarvis35@edu.com,0.2,2021-3
Ingles 1,1,Bridgette O' Hanvey,bo4c@edu.com,Marabel Quakley,mquakley36@edu.com,0.2,2021-3
Ingles 1,1,Bridgette O' Hanvey,bo4c@edu.com,Doy Aleksidze,daleksidze37@edu.com,0.2,2021-3
Comunicación Oral y Escrita,2,Carmel Chappelow,cchappelow3a@edu.com,Bren Carabine,bcarabine38@edu.com,3.9,2022-3
Comunicación Oral y Escrita,2,Carmel Chappelow,cchappelow3a@edu.com,Rose Bonnesen,rbonnesen39@edu.com,3.9,2022-3
Comunicación Oral y Escrita,2,Carmel Chappelow,cchappelow3a@edu.com,Kylie Minshall,kminshall3a@edu.com,3.9,2022-3
Comunicación Oral y Escrita,2,Carmel Chappelow,cchappelow3a@edu.com,Sutherlan Coggins,scoggins3b@edu.com,3.9,2022-3
Ingles 1,3,Garv Forde,gforde53@edu.com,Libbey Vannozzii,lvannozzii3c@edu.com,4.2,2021-1
Ingles 1,3,Garv Forde,gforde53@edu.com,Allen Wareham,awareham3d@edu.com,4.2,2021-1
Ingles 1,3,Garv Forde,gforde53@edu.com,Wilbert Potteridge,wpotteridge3e@edu.com,4.2,2021-1
Ingles 1,3,Garv Forde,gforde53@edu.com,Ronna Guilaem,rguilaem3f@edu.com,4.2,2021-1
Legislacion y Etica en el Manejo de Datos,3,Edith Foro,eforox@edu.com,Evita McIlory,emcilory3g@edu.com,2.1,2021-1
Legislacion y Etica en el Manejo de Datos,3,Edith Foro,eforox@edu.com,Neely Binton,nbinton3h@edu.com,2.1,2021-1
Legislacion y Etica en el Manejo de Datos,3,Edith Foro,eforox@edu.com,Payton Croysdale,pcroysdale3i@edu.com,2.1,2021-1
Legislacion y Etica en el Manejo de Datos,3,Edith Foro,eforox@edu.com,Reine Crumley,rcrumley3j@edu.com,2.1,2021-1
Electiva Libre I,3,Huntington Fincham,hfinchamc@edu.com,Antonio Cutford,acutford3k@edu.com,4.3,2021-3
Electiva Libre I,3,Huntington Fincham,hfinchamc@edu.com,Gerhardine Deverick,gdeverick3l@edu.com,4.3,2021-3
Electiva Libre I,3,Huntington Fincham,hfinchamc@edu.com,Michaelina Olekhov,molekhov3m@edu.com,4.3,2021-3
Electiva Libre I,3,Huntington Fincham,hfinchamc@edu.com,Gaven Orbine,gorbine3n@edu.com,4.3,2021-3
Electiva Profesional 1,2,Tabitha Edgcombe,tedgcombee@edu.com,Durante Shoutt,dshoutt3o@edu.com,4.1,2021-3
Electiva Profesional 1,2,Tabitha Edgcombe,tedgcombee@edu.com,Giselbert Whacket,gwhacket3p@edu.com,4.1,2021-3
Electiva Profesional 1,2,Tabitha Edgcombe,tedgcombee@edu.com,Rudyard Symes,rsymes3q@edu.com,4.1,2021-3
Electiva Profesional 1,2,Tabitha Edgcombe,tedgcombee@edu.com,Eal Furse,efurse3r@edu.com,4.1,2021-3
Formacion Ciudadana II: Sociedad y Estado,1,Lara Entwistle,lentwistle2@edu.com,Xena Pettit,xpettit3s@edu.com,4.3,2021-1
Formacion Ciudadana II: Sociedad y Estado,1,Lara Entwistle,lentwistle2@edu.com,Effie Girardey,egirardey3t@edu.com,4.3,2021-1
Formacion Ciudadana II: Sociedad y Estado,1,Lara Entwistle,lentwistle2@edu.com,Paulo Hanselmann,phanselmann3u@edu.com,4.3,2021-1
Formacion Ciudadana II: Sociedad y Estado,1,Lara Entwistle,lentwistle2@edu.com,Brock Blaschek,bblaschek3v@edu.com,4.3,2021-1
Analitica de Datos,3,Clari Szymoni,cszymoni3z@edu.com,Al MacKomb,amackomb3w@edu.com,2.8,2023-1
Analitica de Datos,3,Clari Szymoni,cszymoni3z@edu.com,Lay Hammett,lhammett3x@edu.com,2.8,2023-1
Analitica de Datos,3,Clari Szymoni,cszymoni3z@edu.com,Merline Mordaunt,mmordaunt3y@edu.com,2.8,2023-1
Analitica de Datos,3,Clari Szymoni,cszymoni3z@edu.com,Salmon Bantick,sbantick3z@edu.com,2.8,2023-1
Estadistica y Probabilidad II,1,Tabitha Edgcombe,tedgcombee@edu.com,Barrett Grima,bgrima40@edu.com,3.6,2023-1
Estadistica y Probabilidad II,1,Tabitha Edgcombe,tedgcombee@edu.com,Cletus Domange,cdomange41@edu.com,3.6,2023-1
Estadistica y Probabilidad II,1,Tabitha Edgcombe,tedgcombee@edu.com,Lonni Strowther,lstrowther42@edu.com,3.6,2023-1
Estadistica y Probabilidad II,1,Tabitha Edgcombe,tedgcombee@edu.com,Devy Zottoli,dzottoli43@edu.com,3.6,2023-1
Redes e Infraestructura,1,Roseann Fallowfield,rfallowfield4a@edu.com,Glynis Rydings,grydings44@edu.com,1.5,2022-3
Redes e Infraestructura,1,Roseann Fallowfield,rfallowfield4a@edu.com,Kelsi Parratt,kparratt45@edu.com,1.5,2022-3
Redes e Infraestructura,1,Roseann Fallowfield,rfallowfield4a@edu.com,Shelli Perassi,sperassi46@edu.com,1.5,2022-3
Redes e Infraestructura,1,Roseann Fallowfield,rfallowfield4a@edu.com,Ram Ewer,rewer47@edu.com,1.5,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Hew Tanfield,htanfield48@edu.com,0.3,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Klara Gemeau,kgemeau49@edu.com,0.3,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Eugenie Buglar,ebuglar4a@edu.com,0.3,2022-3
Innovacion y Emprendimiento,2,Nonna Nutton,nnutton24@edu.com,Lolita Winfred,lwinfred4b@edu.com,0.3,2022-3
Transformacion y Carga),1,Langsdon Oakman,loakman1b@edu.com,Bella Ailmer,bailmer4c@edu.com,4.9,2021-1
Transformacion y Carga),1,Langsdon Oakman,loakman1b@edu.com,Rurik Suter,rsuter4d@edu.com,4.9,2021-1
Transformacion y Carga),1,Langsdon Oakman,loakman1b@edu.com,Julieta OMannion,jomannion4e@edu.com,4.9,2021-1
Transformacion y Carga),1,Langsdon Oakman,loakman1b@edu.com,Brand Allington,ballington4f@edu.com,4.9,2021-1
Electiva Profesional 2,3,Huntington Fincham,hfinchamc@edu.com,Sherwood Iddiens,siddiens4g@edu.com,3.9,2023-3
Electiva Profesional 2,3,Huntington Fincham,hfinchamc@edu.com,Wolfie Ricioppo,wricioppo4h@edu.com,3.9,2023-3
Electiva Profesional 2,3,Huntington Fincham,hfinchamc@edu.com,Consuelo Pendlington,cpendlington4i@edu.com,3.9,2023-3
Electiva Profesional 2,3,Huntington Fincham,hfinchamc@edu.com,Latrina Menloe,lmenloe4j@edu.com,3.9,2023-3
Sistemas Operativos,1,Albina Tiffin,atiffin4i@edu.com,Cariotta Cristobal,ccristobal4k@edu.com,3.5,2023-1
Sistemas Operativos,1,Albina Tiffin,atiffin4i@edu.com,Heinrik Hemphrey,hhemphrey4l@edu.com,3.5,2023-1
Sistemas Operativos,1,Albina Tiffin,atiffin4i@edu.com,Stefania Simonazzi,ssimonazzi4m@edu.com,3.5,2023-1
Sistemas Operativos,1,Albina Tiffin,atiffin4i@edu.com,Andie Caseley,acaseley4n@edu.com,3.5,2023-1
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Tammy Hicks,thicks4o@edu.com,0.4,2022-3
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Tucker Streatley,tstreatley4p@edu.com,0.4,2022-3
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Hobie Ghelerdini,hghelerdini4q@edu.com,0.4,2022-3
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Bruno Russe,brusse4r@edu.com,0.4,2022-3
Electiva de  Ciencias Sociales,1,Elaina Baumler,ebaumler9@edu.com,Letitia Heugh,lheugh4s@edu.com,4.3,2021-3
Electiva de  Ciencias Sociales,1,Elaina Baumler,ebaumler9@edu.com,Warden Tremellier,wtremellier4t@edu.com,4.3,2021-3
Electiva de  Ciencias Sociales,1,Elaina Baumler,ebaumler9@edu.com,Joni Rosenqvist,jrosenqvist4u@edu.com,4.3,2021-3
Electiva de  Ciencias Sociales,1,Elaina Baumler,ebaumler9@edu.com,Sherilyn Bladon,sbladon4v@edu.com,4.3,2021-3
Programacion,3,Mary Birtonshaw,mbirtonshaw14@edu.com,Doro Sames,dsames4w@edu.com,4.7,2021-1
Programacion,3,Mary Birtonshaw,mbirtonshaw14@edu.com,Aurthur Gallaway,agallaway4x@edu.com,4.7,2021-1
Programacion,3,Mary Birtonshaw,mbirtonshaw14@edu.com,Jermaine Fold,jfold4y@edu.com,4.7,2021-1
Programacion,3,Mary Birtonshaw,mbirtonshaw14@edu.com,Aime Baccas,abaccas4z@edu.com,4.7,2021-1
Calculo 2,3,Piper Sieghard,psieghard2z@edu.com,Seamus Ferrino,sferrino50@edu.com,0.1,2022-3
Calculo 2,3,Piper Sieghard,psieghard2z@edu.com,Homer Veivers,hveivers51@edu.com,0.1,2022-3
Calculo 2,3,Piper Sieghard,psieghard2z@edu.com,Teddi Fellibrand,tfellibrand52@edu.com,0.1,2022-3
Calculo 2,3,Piper Sieghard,psieghard2z@edu.com,Anastassia Chalfain,achalfain53@edu.com,0.1,2022-3
Ingles 3,1,Suzette Paley,spaley0@edu.com,Maxine Petronis,mpetronis54@edu.com,0.2,2023-1
Ingles 3,1,Suzette Paley,spaley0@edu.com,Trudey Purchall,tpurchall55@edu.com,0.2,2023-1
Ingles 3,1,Suzette Paley,spaley0@edu.com,Kayla Choffin,kchoffin56@edu.com,0.2,2023-1
Ingles 3,1,Suzette Paley,spaley0@edu.com,Rik Gallear,rgallear57@edu.com,0.2,2023-1
Calculo 2,2,Tanitansy Dwine,tdwine20@edu.com,Meggy MacTimpany,mmactimpany58@edu.com,0.4,2023-3
Calculo 2,2,Tanitansy Dwine,tdwine20@edu.com,Terencio Callander,tcallander59@edu.com,0.4,2023-3
Calculo 2,2,Tanitansy Dwine,tdwine20@edu.com,Faydra Crier,fcrier5a@edu.com,0.4,2023-3
Calculo 2,2,Tanitansy Dwine,tdwine20@edu.com,Shaina Ritchings,sritchings5b@edu.com,0.4,2023-3
Calculo 2,1,Ginger Goomes,ggoomes3n@edu.com,Carol Conrart,cconrart5c@edu.com,3.4,2021-1
Calculo 2,1,Ginger Goomes,ggoomes3n@edu.com,Nanni Sherwill,nsherwill5d@edu.com,3.4,2021-1
Calculo 2,1,Ginger Goomes,ggoomes3n@edu.com,Teodoro Filshin,tfilshin5e@edu.com,3.4,2021-1
Calculo 2,1,Ginger Goomes,ggoomes3n@edu.com,Cos Brazenor,cbrazenor5f@edu.com,3.4,2021-1
Seminario de Ing. de Datos e IA,1,Clem Branni,cbrannib@edu.com,Myriam Baulch,mbaulch5g@edu.com,0.5,2022-1
Seminario de Ing. de Datos e IA,1,Clem Branni,cbrannib@edu.com,Alvy Floyde,afloyde5h@edu.com,0.5,2022-1
Seminario de Ing. de Datos e IA,1,Clem Branni,cbrannib@edu.com,Clevey Skeffington,cskeffington5i@edu.com,0.5,2022-1
Seminario de Ing. de Datos e IA,1,Clem Branni,cbrannib@edu.com,Kristen Dimic,kdimic5j@edu.com,0.5,2022-1
Ingenieria y Sostenibilidad,2,Germaine Nary,gnary13@edu.com,Tyson Magauran,tmagauran5k@edu.com,1.5,2022-3
Ingenieria y Sostenibilidad,2,Germaine Nary,gnary13@edu.com,Asa Iacopetti,aiacopetti5l@edu.com,1.5,2022-3
Ingenieria y Sostenibilidad,2,Germaine Nary,gnary13@edu.com,Robby Barkshire,rbarkshire5m@edu.com,1.5,2022-3
Ingenieria y Sostenibilidad,2,Germaine Nary,gnary13@edu.com,Muffin Buckthorpe,mbuckthorpe5n@edu.com,1.5,2022-3
ETL (Extraccion,2,Levon Gouth,lgouth3f@edu.com,Rock Goby,rgoby5o@edu.com,4.4,2023-3
ETL (Extraccion,2,Levon Gouth,lgouth3f@edu.com,Sondra Etock,setock5p@edu.com,4.4,2023-3
ETL (Extraccion,2,Levon Gouth,lgouth3f@edu.com,Gwendolin Chesnut,gchesnut5q@edu.com,4.4,2023-3
ETL (Extraccion,2,Levon Gouth,lgouth3f@edu.com,Benedicto Freire,bfreire5r@edu.com,4.4,2023-3
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Babara Allsupp,ballsupp1i@edu.com,Floris Echalier,fechalier5s@edu.com,4.0,2022-3
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Babara Allsupp,ballsupp1i@edu.com,Onofredo Duferie,oduferie5t@edu.com,4.0,2022-3
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Babara Allsupp,ballsupp1i@edu.com,Bealle Onslow,bonslow5u@edu.com,4.0,2022-3
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Babara Allsupp,ballsupp1i@edu.com,Dee Eversley,deversley5v@edu.com,4.0,2022-3
