id,nombreCurso,grupo,profesor,correoProfesor,nombreEstudiante,correoEstudiante,nota,periodo
15.0,Inteligencia Artificial,1.0,Lorrie Winborn,lwinborn3p@edu.com,Arleta Bardsley,abardsleygw@edu.com,2.7,2024-3
16.0,Innovación y Emprendimiento,3.0,Anissa Fishbie,afishbie1f@edu.com,Aubine Baty,abatyg4@edu.com,1.2,2024-3
17.0,Innovación y Emprendimiento,3.0,Anissa Fishbie,afishbie1f@edu.com,Aubrie Baudins,abaudins80@edu.com,1.6,2024-3
18.0,Innovación y Emprendimiento,3.0,Anissa Fishbie,afishbie1f@edu.com,Alethea Bensusan,abensusani3@edu.com,2.3,2024-3
19.0,Innovación y Emprendimiento,3.0,Anissa Fishbie,afishbie1f@edu.com,Amye Berard,aberard78@edu.com,0.3,2024-3
20.0,Innovación y Emprendimiento,3.0,Anissa Fishbie,afishbie1f@edu.com,Archambault Bethel,abethel2t@edu.com,2.9,2024-3
21.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Alberik Bickerstaffe,abickerstaffefh@edu.com,2.5,2022-1
22.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Amelia Blackborn,ablackborniq@edu.com,4.9,2022-1
23.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Avery Blaw,ablawhm@edu.com,3.6,2022-1
24.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Alicia Body,abodybl@edu.com,3.4,2022-1
25.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Archaimbaud Bohea,abohea94@edu.com,1.6,2022-1
26.0,Matemáticas Fundamentales,2.0,Obediah Worland,oworland2g@edu.com,Arie Bonnar,abonnaraa@edu.com,3.0,2022-3
27.0,Matemáticas Fundamentales,2.0,Obediah Worland,oworland2g@edu.com,Alejandra Bony,abony2g@edu.com,1.3,2022-3
28.0,Matemáticas Fundamentales,2.0,Obediah Worland,oworland2g@edu.com,Avery Boord,aboordhr@edu.com,1.1,2022-3
29.0,Matemáticas Fundamentales,2.0,Obediah Worland,oworland2g@edu.com,Arlene Boots,abootsin@edu.com,1.9,2022-3
30.0,Matemáticas Fundamentales,2.0,Obediah Worland,oworland2g@edu.com,Alon Bortol,abortolql@edu.com,0.9,2022-3
31.0,Almacenamiento de datos,1.0,Kent Giddons,kgiddons41@edu.com,Abbey Bosden,abosdenm2@edu.com,0.3,2023-1
32.0,Almacenamiento de datos,1.0,Kent Giddons,kgiddons41@edu.com,Agna Bourton,abourton9w@edu.com,3.0,2023-1
33.0,Almacenamiento de datos,1.0,Kent Giddons,kgiddons41@edu.com,Aldus Bowlesworth,abowlesworth4t@edu.com,3.1,2023-1
34.0,Almacenamiento de datos,1.0,Kent Giddons,kgiddons41@edu.com,Ariela Braker,abraker3l@edu.com,3.4,2023-1
35.0,Almacenamiento de datos,1.0,Kent Giddons,kgiddons41@edu.com,Amy Breedy,abreedyo7@edu.com,2.3,2023-1
36.0,Electiva Libre I,3.0,Tanitansy Dwine,tdwine20@edu.com,Amil Brion,abrionbd@edu.com,3.8,2023-3
37.0,Electiva Libre I,3.0,Tanitansy Dwine,tdwine20@edu.com,Aluino Brittles,abrittles5c@edu.com,3.3,2023-3
38.0,Electiva Libre I,3.0,Tanitansy Dwine,tdwine20@edu.com,Ailene Broggio,abroggioig@edu.com,2.1,2023-3
39.0,Electiva Libre I,3.0,Tanitansy Dwine,tdwine20@edu.com,Alys Brownscombe,abrownscombem4@edu.com,2.9,2023-3
40.0,Electiva Libre I,3.0,Tanitansy Dwine,tdwine20@edu.com,Adeline Brownsmith,abrownsmithi8@edu.com,0.2,2023-3
41.0,Sistemas Operativos,1.0,Shelley Imlach,simlach2o@edu.com,Adelaida Brushneen,abrushneenct@edu.com,3.5,2022-3
42.0,Sistemas Operativos,1.0,Shelley Imlach,simlach2o@edu.com,Andie Buckingham,abuckinghamj4@edu.com,4.7,2022-3
43.0,Sistemas Operativos,1.0,Shelley Imlach,simlach2o@edu.com,Aldin Bullard,abullard14@edu.com,0.0,2022-3
44.0,Sistemas Operativos,1.0,Shelley Imlach,simlach2o@edu.com,Abner Bullen,abullen7g@edu.com,2.3,2022-3
45.0,Sistemas Operativos,1.0,Shelley Imlach,simlach2o@edu.com,Averil Bumpus,abumpusdy@edu.com,0.5,2022-3
46.0,Electiva Profesional 3,3.0,Bridgette  Hanvey,bo4c@edu.com,Alyda Bunstone,abunstonelw@edu.com,0.7,2021-1
47.0,Electiva Profesional 3,3.0,Bridgette  Hanvey,bo4c@edu.com,Alysia Butfield,abutfieldgg@edu.com,1.1,2021-1
48.0,Electiva Profesional 3,3.0,Bridgette  Hanvey,bo4c@edu.com,Anitra Cammidge,acammidge8l@edu.com,3.8,2021-1
49.0,Electiva Profesional 3,3.0,Bridgette  Hanvey,bo4c@edu.com,Astrid Capes,acapesh9@edu.com,0.7,2021-1
50.0,Electiva Profesional 3,3.0,Bridgette  Hanvey,bo4c@edu.com,Angil Carrier,acarrierix@edu.com,2.7,2021-1
51.0,Formación Ciudadana I : Identidades y Pluralismo,3.0,Kathy Hake,khake1u@edu.com,Andie Caseley,acaseley4n@edu.com,0.4,2022-3
52.0,Formación Ciudadana I : Identidades y Pluralismo,3.0,Kathy Hake,khake1u@edu.com,Ambrosi Castelletto,acastellettojc@edu.com,1.9,2022-3
53.0,Formación Ciudadana I : Identidades y Pluralismo,3.0,Kathy Hake,khake1u@edu.com,Aindrea Cauley,acauleyco@edu.com,2.5,2022-3
54.0,Formación Ciudadana I : Identidades y Pluralismo,3.0,Kathy Hake,khake1u@edu.com,Amberly Cayet,acayetnb@edu.com,0.7,2022-3
55.0,Formación Ciudadana I : Identidades y Pluralismo,3.0,Kathy Hake,khake1u@edu.com,Anastassia Chalfain,achalfain53@edu.com,4.1,2022-3
56.0,Electiva profesional 4,4.0,Nevile Openshaw,nopenshaw2h@edu.com,Albert Chasmer,achasmerd4@edu.com,0.9,2021-1
57.0,Electiva profesional 4,4.0,Nevile Openshaw,nopenshaw2h@edu.com,Alysia Cheesley,acheesley8k@edu.com,0.4,2021-1
58.0,Electiva profesional 4,4.0,Nevile Openshaw,nopenshaw2h@edu.com,Alonso Chelsom,achelsomir@edu.com,2.3,2021-1
59.0,Electiva profesional 4,4.0,Nevile Openshaw,nopenshaw2h@edu.com,Aurilia Cheshir,acheshirkr@edu.com,2.5,2021-1
60.0,Electiva profesional 4,4.0,Nevile Openshaw,nopenshaw2h@edu.com,Amara Chivers,achiverscp@edu.com,0.7,2021-1
61.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Ailee Climance,aclimancego@edu.com,1.6,2023-3
62.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Aileen Clist,aclistlb@edu.com,3.2,2023-3
63.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Adora Collens,acollensfj@edu.com,3.5,2023-3
64.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Aubrette Coneau,aconeauld@edu.com,3.4,2023-3
65.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Andriana Conradie,aconradie4b@edu.com,0.5,2023-3
66.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Aland Corrado,acorradolg@edu.com,2.8,2022-3
67.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Abie Coulthart,acoulthartjo@edu.com,0.5,2022-3
68.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Amos Coveney,acoveney84@edu.com,4.6,2022-3
69.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Aurora Cramphorn,acramphornb0@edu.com,1.5,2022-3
70.0,Electiva Profesional 5,2.0,Phaedra Spatoni,pspatoni2t@edu.com,Avril Crellin,acrellin92@edu.com,4.4,2022-3
71.0,Electiva Profesional 1,3.0,Abdul Portress,aportress4o@edu.com,Ardis Crighten,acrightenci@edu.com,3.7,2021-3
72.0,Electiva Profesional 1,3.0,Abdul Portress,aportress4o@edu.com,Angelico Cripwell,acripwelll6@edu.com,3.3,2021-3
73.0,Electiva Profesional 1,3.0,Abdul Portress,aportress4o@edu.com,Ase Crissil,acrissiljp@edu.com,0.3,2021-3
74.0,Electiva Profesional 1,3.0,Abdul Portress,aportress4o@edu.com,Adelind Crossby,acrossby6j@edu.com,4.0,2021-3
75.0,Electiva Profesional 1,3.0,Abdul Portress,aportress4o@edu.com,Alvan Crowest,acrowest5x@edu.com,4.7,2021-3
76.0,Formación Ciudadana I : Identidades y Pluralismo,4.0,Garv Forde,gforde53@edu.com,Adelaida Cumber,acumber18@edu.com,2.2,2024-3
77.0,Formación Ciudadana I : Identidades y Pluralismo,4.0,Garv Forde,gforde53@edu.com,Amelia Curd,acurds@edu.com,3.9,2024-3
78.0,Formación Ciudadana I : Identidades y Pluralismo,4.0,Garv Forde,gforde53@edu.com,Albertine Currum,acurrump9@edu.com,2.9,2024-3
79.0,Formación Ciudadana I : Identidades y Pluralismo,4.0,Garv Forde,gforde53@edu.com,Antonio Cutford,acutford3k@edu.com,2.5,2024-3
80.0,Formación Ciudadana I : Identidades y Pluralismo,4.0,Garv Forde,gforde53@edu.com,Agathe Cutforth,acutforthcc@edu.com,4.2,2024-3
81.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Aldridge Daintier,adaintier4b@edu.com,3.6,2023-3
82.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Amerigo Dallaway,adallaway2n@edu.com,3.7,2023-3
83.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Ave Dallmann,adallmann6b@edu.com,3.0,2023-3
84.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Arnaldo Daverin,adaverin2j@edu.com,3.4,2023-3
85.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Arin de Lloyd,ade4y@edu.com,3.2,2023-3
86.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Astra Deavall,adeavallo2@edu.com,4.7,2022-1
87.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Aldin Derl,aderl8i@edu.com,3.3,2022-1
88.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Abbot Dillway,adillway1j@edu.com,4.7,2022-1
89.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Aldous Dodgshon,adodgshongt@edu.com,5.0,2022-1
90.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Alfred Doerr,adoerrnb@edu.com,0.5,2022-1
91.0,Electiva Profesional 1,2.0,Carmel Chappelow,cchappelow3a@edu.com,Antons Driffill,adriffilllu@edu.com,1.1,2021-1
92.0,Electiva Profesional 1,2.0,Carmel Chappelow,cchappelow3a@edu.com,Amandy Dring,adringe4@edu.com,2.6,2021-1
93.0,Electiva Profesional 1,2.0,Carmel Chappelow,cchappelow3a@edu.com,Ann-marie Driscoll,adriscoll9g@edu.com,4.7,2021-1
94.0,Electiva Profesional 1,2.0,Carmel Chappelow,cchappelow3a@edu.com,Alberik Duckfield,aduckfieldcl@edu.com,3.5,2021-1
95.0,Electiva Profesional 1,2.0,Carmel Chappelow,cchappelow3a@edu.com,Ania Dudmarsh,adudmarsh28@edu.com,3.6,2021-1
96.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Amery Duerden,aduerden1y@edu.com,0.7,2024-1
97.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Aurilia Dufaire,adufairej@edu.com,3.2,2024-1
98.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Addia Dufer,aduferhv@edu.com,4.8,2024-1
99.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Armando Durrance,adurrancegh@edu.com,4.9,2024-1
100.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Allie Dyott,adyott5r@edu.com,2.8,2024-1
101.0,Innovación y Emprendimiento,1.0,Casie Yurmanovev,cyurmanovev4d@edu.com,Aeriel Eblein,aebleinlm@edu.com,3.3,2022-3
102.0,Innovación y Emprendimiento,1.0,Casie Yurmanovev,cyurmanovev4d@edu.com,Alikee Edeson,aedesonfn@edu.com,4.3,2022-3
103.0,Innovación y Emprendimiento,1.0,Casie Yurmanovev,cyurmanovev4d@edu.com,Anissa Edgley,aedgleyma@edu.com,2.5,2022-3
104.0,Innovación y Emprendimiento,1.0,Casie Yurmanovev,cyurmanovev4d@edu.com,Aida Emery,aemery7f@edu.com,1.2,2022-3
105.0,Innovación y Emprendimiento,1.0,Casie Yurmanovev,cyurmanovev4d@edu.com,Alisha Emmot,aemmot8k@edu.com,3.9,2022-3
106.0,Programación,1.0,Rozina Yurocjkin,ryurocjkin47@edu.com,Ardra Eplate,aeplategq@edu.com,1.2,2023-1
107.0,Programación,1.0,Rozina Yurocjkin,ryurocjkin47@edu.com,Andrey Evennett,aevennetta5@edu.com,0.3,2023-1
108.0,Programación,1.0,Rozina Yurocjkin,ryurocjkin47@edu.com,Aleen Ever,aever7@edu.com,3.9,2023-1
109.0,Programación,1.0,Rozina Yurocjkin,ryurocjkin47@edu.com,Amos Everex,aeverexr6@edu.com,1.6,2023-1
110.0,Programación,1.0,Rozina Yurocjkin,ryurocjkin47@edu.com,Abbie Fabbri,afabbrinf@edu.com,4.3,2023-1
111.0,Electiva de Lectura y Escritura,4.0,Yolane Ulrik,yulrik57@edu.com,Ardath Fairbairn,afairbairnmh@edu.com,0.6,2023-3
112.0,Electiva de Lectura y Escritura,4.0,Yolane Ulrik,yulrik57@edu.com,Adham Feely,afeelydj@edu.com,1.1,2023-3
113.0,Electiva de Lectura y Escritura,4.0,Yolane Ulrik,yulrik57@edu.com,Alon Fidal,afidal7l@edu.com,1.2,2023-3
114.0,Electiva de Lectura y Escritura,4.0,Yolane Ulrik,yulrik57@edu.com,Arielle Finch,afinch4r@edu.com,5.0,2023-3
115.0,Electiva de Lectura y Escritura,4.0,Yolane Ulrik,yulrik57@edu.com,Aeriel Fleis,afleislk@edu.com,4.9,2023-3
116.0,Seminario de Ing. de Datos e IA,1.0,Bartholemy Pavese,bpavese2x@edu.com,Artair Flory,aflorya5@edu.com,4.1,2024-1
117.0,Seminario de Ing. de Datos e IA,1.0,Bartholemy Pavese,bpavese2x@edu.com,Alvy Floyde,afloyde5h@edu.com,4.0,2024-1
118.0,Seminario de Ing. de Datos e IA,1.0,Bartholemy Pavese,bpavese2x@edu.com,Augustine Foxon,afoxon3h@edu.com,1.1,2024-1
119.0,Seminario de Ing. de Datos e IA,1.0,Bartholemy Pavese,bpavese2x@edu.com,Alexandros Franc,afrancgt@edu.com,2.0,2024-1
120.0,Seminario de Ing. de Datos e IA,1.0,Bartholemy Pavese,bpavese2x@edu.com,Alberta Frankis,afrankis2w@edu.com,0.8,2024-1
121.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Ashlin Frear,afrearf7@edu.com,1.5,2021-3
122.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Amalee Fyrth,afyrthhf@edu.com,1.7,2021-3
123.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Abrahan Gabbett,agabbettc9@edu.com,3.0,2021-3
124.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Aurthur Gallaway,agallaway4x@edu.com,4.6,2021-3
125.0,Matemáticas Fundamentales,3.0,Hobey Karlowicz,hkarlowicz3o@edu.com,Allys Gallelli,agallellib6@edu.com,3.2,2021-3
126.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Antone Galliford,agallifordl1@edu.com,3.6,2023-3
127.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Addia Garnar,agarnarcd@edu.com,1.8,2023-3
128.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Anna-diane Garoghan,agaroghan1z@edu.com,4.3,2023-3
129.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Alden Gellion,agellioncy@edu.com,2.1,2023-3
130.0,Ingles 2,4.0,Hamlen Bande,hbande31@edu.com,Aimee Gemmell,agemmell41@edu.com,1.4,2023-3
131.0,Electiva profesional 4,1.0,Dell Catmull,dcatmull8@edu.com,Aaren Give,agivera@edu.com,1.5,2023-3
132.0,Electiva profesional 4,1.0,Dell Catmull,dcatmull8@edu.com,Angus Gladdin,agladdin4n@edu.com,3.0,2023-3
133.0,Electiva profesional 4,1.0,Dell Catmull,dcatmull8@edu.com,Ardath Goeff,agoeffpb@edu.com,4.8,2023-3
134.0,Electiva profesional 4,1.0,Dell Catmull,dcatmull8@edu.com,Ana Goodread,agoodreadrm@edu.com,1.0,2023-3
135.0,Electiva profesional 4,1.0,Dell Catmull,dcatmull8@edu.com,Allyn Goude,agoudebl@edu.com,3.8,2023-3
136.0,Electiva Profesional 2,2.0,Clem Branni,cbrannib@edu.com,Allyce Gozzett,agozzettje@edu.com,4.1,2022-1
137.0,Electiva Profesional 2,2.0,Clem Branni,cbrannib@edu.com,Aimil Grigolashvill,agrigolashvilln9@edu.com,4.9,2022-1
138.0,Electiva Profesional 2,2.0,Clem Branni,cbrannib@edu.com,Akim Guerner,aguerner47@edu.com,0.6,2022-1
139.0,Electiva Profesional 2,2.0,Clem Branni,cbrannib@edu.com,Aridatha Guillerman,aguillerman10@edu.com,1.3,2022-1
140.0,Electiva Profesional 2,2.0,Clem Branni,cbrannib@edu.com,Alvis Gurr,agurry@edu.com,4.8,2022-1
141.0,Comunicación Oral y Escrita,2.0,Simeon Creser,screser23@edu.com,Adamo Haggerwood,ahaggerwoodh2@edu.com,2.3,2023-3
142.0,Comunicación Oral y Escrita,2.0,Simeon Creser,screser23@edu.com,Amil Haizelden,ahaizeldenea@edu.com,4.1,2023-3
143.0,Comunicación Oral y Escrita,2.0,Simeon Creser,screser23@edu.com,Angelico Hallgarth,ahallgarth4g@edu.com,4.2,2023-3
144.0,Comunicación Oral y Escrita,2.0,Simeon Creser,screser23@edu.com,Amie Halso,ahalsorn@edu.com,3.1,2023-3
145.0,Comunicación Oral y Escrita,2.0,Simeon Creser,screser23@edu.com,Ainsley Hamsley,ahamsleyqz@edu.com,2.2,2023-3
146.0,Cálculo 1,4.0,Adrianne Cescot,acescott@edu.com,Alistair Hardware,ahardwaree6@edu.com,0.0,2023-3
147.0,Cálculo 1,4.0,Adrianne Cescot,acescott@edu.com,Amelia Hattigan,ahattigandm@edu.com,3.0,2023-3
148.0,Cálculo 1,4.0,Adrianne Cescot,acescott@edu.com,Ashlen Heavens,aheavensar@edu.com,3.3,2023-3
149.0,Cálculo 1,4.0,Adrianne Cescot,acescott@edu.com,Anthiathia Hedge,ahedged@edu.com,1.7,2023-3
150.0,Cálculo 1,4.0,Adrianne Cescot,acescott@edu.com,Adelle Heims,aheimshg@edu.com,2.8,2023-3
151.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Ardra Hendrich,ahendrichlq@edu.com,3.3,2021-3
152.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Annetta Henriet,ahenrietoj@edu.com,4.5,2021-3
153.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Alexandre Hinkins,ahinkinsbz@edu.com,2.6,2021-3
154.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Ainsley Hixson,ahixson73@edu.com,2.7,2021-3
155.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Averyl Huckel,ahuckelqv@edu.com,1.6,2021-3
156.0,Ingles 4,3.0,Franchot Jorden,fjorden3e@edu.com,Alli Huffey,ahuffey8c@edu.com,1.8,2024-3
157.0,Ingles 4,3.0,Franchot Jorden,fjorden3e@edu.com,Ailey Humberstone,ahumberstoneoj@edu.com,4.3,2024-3
158.0,Ingles 4,3.0,Franchot Jorden,fjorden3e@edu.com,Ashla Husthwaite,ahusthwaiteg1@edu.com,2.4,2024-3
159.0,Ingles 4,3.0,Franchot Jorden,fjorden3e@edu.com,Artemus Hymer,ahymero8@edu.com,2.7,2024-3
160.0,Ingles 4,3.0,Franchot Jorden,fjorden3e@edu.com,Asa Iacopetti,aiacopetti5l@edu.com,1.0,2024-3
161.0,Seminario de Ing. de Datos e IA,3.0,Courtnay Easterfield,ceasterfield5f@edu.com,Audre Iacovides,aiacovides9k@edu.com,2.3,2024-1
162.0,Seminario de Ing. de Datos e IA,3.0,Courtnay Easterfield,ceasterfield5f@edu.com,Aeriel Iremonger,airemonger6q@edu.com,0.5,2024-1
163.0,Seminario de Ing. de Datos e IA,3.0,Courtnay Easterfield,ceasterfield5f@edu.com,Arvie Isabell,aisabell7s@edu.com,1.5,2024-1
164.0,Seminario de Ing. de Datos e IA,3.0,Courtnay Easterfield,ceasterfield5f@edu.com,Annamarie Itzcovichch,aitzcovichchb9@edu.com,0.2,2024-1
165.0,Seminario de Ing. de Datos e IA,3.0,Courtnay Easterfield,ceasterfield5f@edu.com,Armin Izacenko,aizacenkode@edu.com,2.3,2024-1
166.0,Sistemas Operativos,3.0,Barri Skipsea,bskipsea2f@edu.com,Abbey Janc,ajancb1@edu.com,1.8,2021-3
167.0,Sistemas Operativos,3.0,Barri Skipsea,bskipsea2f@edu.com,Abbie Jarrel,ajarrel10@edu.com,4.2,2021-3
168.0,Sistemas Operativos,3.0,Barri Skipsea,bskipsea2f@edu.com,Archambault Jerred,ajerredih@edu.com,0.3,2021-3
169.0,Sistemas Operativos,3.0,Barri Skipsea,bskipsea2f@edu.com,Allard Jessel,ajesselm@edu.com,4.4,2021-3
170.0,Sistemas Operativos,3.0,Barri Skipsea,bskipsea2f@edu.com,Annora Jouannot,ajouannotiv@edu.com,0.9,2021-3
171.0,ETL (Extracción Transformación y Carga),3.0,Wandis Woodruffe,wwoodruffe59@edu.com,Abra Jovis,ajovisef@edu.com,3.2,2022-1
172.0,ETL (Extracción Transformación y Carga),3.0,Wandis Woodruffe,wwoodruffe59@edu.com,Augustine Jozwiak,ajozwiakg8@edu.com,0.1,2022-1
173.0,ETL (Extracción Transformación y Carga),3.0,Wandis Woodruffe,wwoodruffe59@edu.com,Andrej Karsh,akarsh8s@edu.com,2.6,2022-1
174.0,ETL (Extracción Transformación y Carga),3.0,Wandis Woodruffe,wwoodruffe59@edu.com,Ardisj Kelcher,akelcher24@edu.com,3.5,2022-1
175.0,ETL (Extracción Transformación y Carga),3.0,Wandis Woodruffe,wwoodruffe59@edu.com,Arnold Kelso,akelso5i@edu.com,1.8,2022-1
176.0,Comunicación Oral y Escrita,3.0,Rosalinde Warbey,rwarbey42@edu.com,Anestassia Kerins,akerinsb5@edu.com,3.7,2024-3
177.0,Comunicación Oral y Escrita,3.0,Rosalinde Warbey,rwarbey42@edu.com,Aurora Kingescot,akingescot4z@edu.com,2.0,2024-3
178.0,Comunicación Oral y Escrita,3.0,Rosalinde Warbey,rwarbey42@edu.com,Agosto Kiossel,akiosselei@edu.com,1.7,2024-3
179.0,Comunicación Oral y Escrita,3.0,Rosalinde Warbey,rwarbey42@edu.com,Archibald Klimkiewich,aklimkiewichc7@edu.com,4.5,2024-3
180.0,Comunicación Oral y Escrita,3.0,Rosalinde Warbey,rwarbey42@edu.com,Ardine Kowal,akowali3@edu.com,4.7,2024-3
181.0,Lógica y Matemática Discreta,3.0,Bernadene Habergham,bhabergham3k@edu.com,Arny Krebs,akrebs4s@edu.com,0.8,2024-1
182.0,Lógica y Matemática Discreta,3.0,Bernadene Habergham,bhabergham3k@edu.com,Arabele Labon,alabond3@edu.com,2.3,2024-1
183.0,Lógica y Matemática Discreta,3.0,Bernadene Habergham,bhabergham3k@edu.com,Augustin Ladyman,aladymanh8@edu.com,1.1,2024-1
184.0,Lógica y Matemática Discreta,3.0,Bernadene Habergham,bhabergham3k@edu.com,Adham Laight,alaight12@edu.com,3.6,2024-1
185.0,Lógica y Matemática Discreta,3.0,Bernadene Habergham,bhabergham3k@edu.com,Arin Lamshead,alamshead16@edu.com,4.2,2024-1
186.0,Administración para Ingenieros,4.0,Franchot Jorden,fjorden3e@edu.com,Adelbert Lansley,alansley1l@edu.com,2.7,2021-3
187.0,Administración para Ingenieros,4.0,Franchot Jorden,fjorden3e@edu.com,Anne Llewelyn,allewelyndp@edu.com,4.0,2021-3
188.0,Administración para Ingenieros,4.0,Franchot Jorden,fjorden3e@edu.com,Adriane Losseljong,alosseljongeb@edu.com,2.9,2021-3
189.0,Administración para Ingenieros,4.0,Franchot Jorden,fjorden3e@edu.com,Alessandro Louca,alouca8s@edu.com,4.8,2021-3
190.0,Administración para Ingenieros,4.0,Franchot Jorden,fjorden3e@edu.com,Aidan Luparto,alupartohm@edu.com,1.0,2021-3
191.0,Electiva Profesional 5,4.0,Alexandre Alvy,aalvy4w@edu.com,Arlen Lydon,alydonho@edu.com,3.0,2022-3
192.0,Electiva Profesional 5,4.0,Alexandre Alvy,aalvy4w@edu.com,Alfie Lyttle,alyttle2l@edu.com,2.7,2022-3
