usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducacion,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
acrowest5x,bW28*zd)Syap2+G,Alvan Crowest,acrowest5x@edu.com,Portugal,no,Masculino,Soltero,no,no,no,3.0
acumber18,cI74#j)6FvP,Adelaida Cumber,acumber18@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
acurds,mC4b4IG3,Amelia Curd,acurds@edu.com,Portugal,no,Masculino,Union libre,si,si,no,3.0
acurrump9,eI5kL0C{CS>,Albertine Currum,acurrump9@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
acutford3k,tmn43>U0R,Antonio Cutford,acutford3k@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
acutforthcc,zD7a6pEizMoQ),Agathe Cutforth,acutforthcc@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
adaintier4b,zO4y=QeELy_o&R|},Aldridge Daintier,adaintier4b@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
adallaway2n,qW2d>Rt$kRPMgnW4,Amerigo Dallaway,adallaway2n@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
adallmann6b,bQ8i#kOO!9j4qlx,Ave Dallmann,adallmann6b@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
adaverin2j,nU48MtX,Arnaldo Daverin,adaverin2j@edu.com,Portugal,no,Femenino,Union libre,no,no,si,0.0
ade4y,fG4{e~SH2t&{f,Arin de Lloyd,ade4y@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
adeavallo2,vwl069,Astra Deavall,adeavallo2@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
aderl8i,hxh29SV,Aldin Derl,aderl8i@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
adillway1j,jB5Dlh1QE7pFB,Abbot Dillway,adillway1j@edu.com,Brasil,no,Femenino,Soltero,no,si,si,3.0
adodgshongt,wK3_w@Z@Xtr(,Aldous Dodgshon,adodgshongt@edu.com,Portugal,no,Femenino,Casado,no,no,no,0.0
adoerrnb,dcf82{,Alfred Doerr,adoerrnb@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
adriffilllu,kD12tLO@$UcZ|,Antons Driffill,adriffilllu@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
adringe4,tI4X}()M,Amandy Dring,adringe4@edu.com,Portugal,no,Masculino,Soltero,no,si,no,3.0
adriscoll9g,bC6nkWzWhB&i$f,Ann-marie Driscoll,adriscoll9g@edu.com,Portugal,no,Femenino,Soltero,no,si,no,3.0
aduckfieldcl,ezq16s@i,Alberik Duckfield,aduckfieldcl@edu.com,Portugal,no,Femenino,Soltero,no,no,no,6.0
adudmarsh28,koj04<,Ania Dudmarsh,adudmarsh28@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
aduerden1y,pA3TIIB4#Ok,Amery Duerden,aduerden1y@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
adufairej,uS1bYsH>BkT5,Aurilia Dufaire,adufairej@edu.com,Portugal,no,Femenino,Soltero,no,no,si,6.0
aduferhv,fR6SsxJo*,Addia Dufer,aduferhv@edu.com,Portugal,no,Masculino,Soltero,no,no,no,12.0
adurrancegh,xS7SXBp|z)h*Z,Armando Durrance,adurrancegh@edu.com,Portugal,no,Femenino,Divorciado,no,no,no,12.0
adyott5r,uK1bW.Hu,Allie Dyott,adyott5r@edu.com,Portugal,no,Masculino,Soltero,si,no,si,0.0
aebleinlm,xP0N?om6$,Aeriel Eblein,aebleinlm@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
aedesonfn,pL7eWiddC=Zp>,Alikee Edeson,aedesonfn@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
aedgleyma,bE3{Eqv{OXJ2,Anissa Edgley,aedgleyma@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
aemery7f,uR1mi=VtpMK#,Aida Emery,aemery7f@edu.com,Portugal,no,Masculino,Soltero,no,si,si,0.0
aemmot8k,jJ3.g.lMDZ7yJ,Alisha Emmot,aemmot8k@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
aeplategq,dxw50&+}.,Ardra Eplate,aeplategq@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
aevennetta5,vQ49kGaQG4U,Andrey Evennett,aevennetta5@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
aever7,kQ9_8#(|R0<,Aleen Ever,aever7@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
aeverexr6,cL7UD.FVD,Amos Everex,aeverexr6@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
afabbrinf,bM7YB<92!N7Ut>lH,Abbie Fabbri,afabbrinf@edu.com,Portugal,no,Femenino,Divorciado,si,no,no,0.0
afairbairnmh,dX0yOAzH|sa,Ardath Fairbairn,afairbairnmh@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
afeelydj,jD3S8)$1!#6n,Adham Feely,afeelydj@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
afidal7l,pT3U&PC&),Alon Fidal,afidal7l@edu.com,Portugal,no,Femenino,Casado,no,no,no,0.0
afinch4r,zA4Mt4d98Y2<lR,Arielle Finch,afinch4r@edu.com,Portugal,no,Femenino,Soltero,si,no,si,2.0
afleislk,uX6JTt>L,Aeriel Fleis,afleislk@edu.com,Portugal,no,Masculino,Casado,no,no,no,2.0
aflorya5,sbp49y#,Artair Flory,aflorya5@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
afloyde5h,ldm55c7s,Alvy Floyde,afloyde5h@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
afoxon3h,wO8I0Q5>,Augustine Foxon,afoxon3h@edu.com,Portugal,no,Femenino,Casado,no,no,no,0.0
afrancgt,iG60U?7N,Alexandros Franc,afrancgt@edu.com,Portugal,no,Femenino,Divorciado,no,si,no,0.0
afrankis2w,eB2q4*3{{P?B)S,Alberta Frankis,afrankis2w@edu.com,Portugal,si,Femenino,Soltero,no,si,no,0.0
afrearf7,gM84Fh4cg<,Ashlin Frear,afrearf7@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
afyrthhf,yG6npkm>k,Amalee Fyrth,afyrthhf@edu.com,Portugal,no,Femenino,Soltero,si,no,si,0.0
agabbettc9,msc10}R,Abrahan Gabbett,agabbettc9@edu.com,Portugal,no,Femenino,Soltero,si,no,si,0.0
agallaway4x,bvs98,Aurthur Gallaway,agallaway4x@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
agallellib6,qZ3Ovt@Nji,Allys Gallelli,agallellib6@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
agallifordl1,jW3zLWEfVC$mk,Antone Galliford,agallifordl1@edu.com,Portugal,no,Masculino,Soltero,no,no,no,3.0
agarnarcd,oN9P19!n<di3,Addia Garnar,agarnarcd@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
agaroghan1z,wB6.>>?9Jkw{,Anna-diane Garoghan,agaroghan1z@edu.com,Portugal,no,Femenino,Soltero,no,no,si,9.0
agellioncy,mpj68,Alden Gellion,agellioncy@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
agemmell41,kE9KK@oVatyB(V,Aimee Gemmell,agemmell41@edu.com,Portugal,no,Femenino,Soltero,no,si,si,3.0
agivera,nW3P4xo_0,Aaren Give,agivera@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
agladdin4n,dS4NZ_j(,Angus Gladdin,agladdin4n@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
agoeffpb,hI8T@3hp,Ardath Goeff,agoeffpb@edu.com,Portugal,no,Femenino,Soltero,no,no,si,2.0
agoodreadrm,xP6MZTX(Ky,Ana Goodread,agoodreadrm@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
agoudebl,jM7TUF9s>sQr{6R,Allyn Goude,agoudebl@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
agozzettje,uD6dh)g3Bct>k?,Allyce Gozzett,agozzettje@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
agrigolashvilln9,qhj40#Rd6,Aimil Grigolashvill,agrigolashvilln9@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
aguerner47,pA5Rl=!7,Akim Guerner,aguerner47@edu.com,Portugal,no,Femenino,Soltero,si,no,no,0.0
aguillerman10,yJ7O.9AU~{*,Aridatha Guillerman,aguillerman10@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
agurry,bB1&$s$w,Alvis Gurr,agurry@edu.com,Portugal,no,Femenino,Soltero,no,no,no,3.0
ahaggerwoodh2,zP4g&}SeqL,Adamo Haggerwood,ahaggerwoodh2@edu.com,Portugal,no,Masculino,Soltero,no,no,si,6.0
ahaizeldenea,jQ2_vVLtME>,Amil Haizelden,ahaizeldenea@edu.com,Portugal,no,Femenino,Soltero,no,no,si,6.0
ahallgarth4g,nJ6|@=pj#kw,Angelico Hallgarth,ahallgarth4g@edu.com,Portugal,no,Femenino,Soltero,no,si,si,3.0
ahalsorn,tey55X$,Amie Halso,ahalsorn@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
ahamsleyqz,dO7lmx|R|E5&j{,Ainsley Hamsley,ahamsleyqz@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
ahardwaree6,gpq60~5,Alistair Hardware,ahardwaree6@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
ahattigandm,dT2Fw2k|7,Amelia Hattigan,ahattigandm@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
aheavensar,pxy846b_Z,Ashlen Heavens,aheavensar@edu.com,Portugal,no,Femenino,Soltero,no,no,no,3.0
ahedged,lE2C!uVvOCUNj,Anthiathia Hedge,ahedged@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
aheimshg,dW0>tOh<,Adelle Heims,aheimshg@edu.com,Portugal,no,Femenino,Soltero,no,si,si,3.0
ahendrichlq,zB2aMk.H$9k=CPO,Ardra Hendrich,ahendrichlq@edu.com,Portugal,no,Femenino,Soltero,no,no,si,6.0
ahenrietoj,zI5v~Yw=@SI<)Dl*,Annetta Henriet,ahenrietoj@edu.com,Portugal,no,Femenino,Casado,no,si,no,6.0
ahinkinsbz,owr23,Alexandre Hinkins,ahinkinsbz@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
ahixson73,iS3t1<erCc5,Ainsley Hixson,ahixson73@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
ahuckelqv,sB1Ks!I}4<c!B,Averyl Huckel,ahuckelqv@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
ahuffey8c,dS8)YSnnFC,Alli Huffey,ahuffey8c@edu.com,Portugal,no,Masculino,Soltero,si,no,si,0.0
ahumberstoneoj,imh75S,Ailey Humberstone,ahumberstoneoj@edu.com,Portugal,no,Masculino,Soltero,si,no,no,3.0
ahusthwaiteg1,xZ9$Io#e4?S,Ashla Husthwaite,ahusthwaiteg1@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
ahymero8,dR48Y>>g~IYif,Artemus Hymer,ahymero8@edu.com,Portugal,no,Femenino,Casado,no,no,no,0.0
aiacopetti5l,pjl14,Asa Iacopetti,aiacopetti5l@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
aiacovides9k,oJ7+svR,Audre Iacovides,aiacovides9k@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
airemonger6q,ybl534S(,Aeriel Iremonger,airemonger6q@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
aisabell7s,nV3?3E0o}CAHj,Arvie Isabell,aisabell7s@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
aitzcovichchb9,iF6rVOcTjqL,Annamarie Itzcovichch,aitzcovichchb9@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
aizacenkode,eU8aS*?{L?n$,Armin Izacenko,aizacenkode@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
ajancb1,bH8hcj<>,Abbey Janc,ajancb1@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
ajarrel10,cH75h}hXx,Abbie Jarrel,ajarrel10@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
ajerredih,fL1T=|4X,Archambault Jerred,ajerredih@edu.com,Portugal,no,Masculino,Casado,si,no,no,0.0
ajesselm,dJ7RV4OLTg5K,Allard Jessel,ajesselm@edu.com,Portugal,no,Femenino,Soltero,no,no,no,3.0
ajouannotiv,xO0X)BFoz.*_,Annora Jouannot,ajouannotiv@edu.com,Portugal,no,Femenino,Divorciado,no,no,no,0.0
ajovisef,aB8Iku1cYZ9}b5,Abra Jovis,ajovisef@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
ajozwiakg8,aP0t@P|y)R,Augustine Jozwiak,ajozwiakg8@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
akarsh8s,uZ7RxDVde{q,Andrej Karsh,akarsh8s@edu.com,Portugal,no,Masculino,Soltero,si,no,no,6.0
akelcher24,oD8_)&k|,Ardisj Kelcher,akelcher24@edu.com,Portugal,no,Femenino,Soltero,no,no,no,3.0
akelso5i,pE2pwk3558l!y,Arnold Kelso,akelso5i@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
akerinsb5,dO1$I~F?8hD?k,Anestassia Kerins,akerinsb5@edu.com,Portugal,no,Masculino,Soltero,si,si,no,2.0
akingescot4z,mQ8Y4W6rO,Aurora Kingescot,akingescot4z@edu.com,Portugal,no,Masculino,Soltero,no,si,no,2.0
akiosselei,eV2rsj_GQOB,Agosto Kiossel,akiosselei@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
aklimkiewichc7,inu78*<9,Archibald Klimkiewich,aklimkiewichc7@edu.com,Portugal,no,Femenino,Casado,no,no,si,2.0
akowali3,fH86@_|!1${Z*,Ardine Kowal,akowali3@edu.com,Portugal,no,Masculino,Soltero,no,no,no,2.0
akrebs4s,zW7(vXMs3,Arny Krebs,akrebs4s@edu.com,Portugal,no,Masculino,Soltero,no,no,no,3.0
alabond3,eL1N>cIo2{8l<?,Arabele Labon,alabond3@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
aladymanh8,hX8cn&7kdMP2W,Augustin Ladyman,aladymanh8@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
alaight12,xT6a{jg3mJZ,Adham Laight,alaight12@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
alamshead16,iI2$D$Daog1,Arin Lamshead,alamshead16@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
alansley1l,fI5!02y,Adelbert Lansley,alansley1l@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
allewelyndp,aT9DH<&Nri,Anne Llewelyn,allewelyndp@edu.com,Portugal,no,Masculino,Soltero,no,si,si,0.0
alosseljongeb,mM0_~@}Y,Adriane Losseljong,alosseljongeb@edu.com,Rumania,no,Masculino,Soltero,no,no,si,0.0
alouca8s,jvq46Q,Alessandro Louca,alouca8s@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
alupartohm,gqp92TO+M,Aidan Luparto,alupartohm@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
alydonho,oP8){}mH#,Arlen Lydon,alydonho@edu.com,Portugal,no,Femenino,Soltero,si,no,si,0.0
alyttle2l,wL7Xn)sqvQ,Alfie Lyttle,alyttle2l@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
amachent8b,dU7CNVoNSXy__,Anna-diane Machent,amachent8b@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
amaciejakio,rG9SKqXtW9I,Aurilia Maciejak,amaciejakio@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
amackomb3w,xki58?j@T,Al MacKomb,amackomb3w@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
amacrannellex,fU7xhLMd,Abel MacRannell,amacrannellex@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
amakinn0,qQ7PhL,Aksel Makin,amakinn0@edu.com,Portugal,no,Femenino,Soltero,no,no,si,2.0
amallionc0,ltm34,Alfred Mallion,amallionc0@edu.com,Portugal,no,0,Soltero,no,si,si,5.0
amanuellik,jS5k}ktcOE+XU,Alasteir Manuelli,amanuellik@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
amarlennf,hI3BnhWBGi#?ooh,Ali Marlen,amarlennf@edu.com,Portugal,si,Masculino,Soltero,si,no,si,0.0
amarsdencl,uO1.tz==xlW,Austin Marsden,amarsdencl@edu.com,Portugal,no,Masculino,Soltero,no,si,si,0.0
amarvin9b,cC0<~CT~oOmz$Lb,Aymer Marvin,amarvin9b@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
amarzelel4,xB1F&HrNpQ<,Abe Marzele,amarzelel4@edu.com,Portugal,no,Femenino,Soltero,si,no,si,0.0
amason8x,wQ8LAPS@9ZXc,Adrea Mason,amason8x@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
amaultbynj,bP8W)(IPRv,Aurora Maultby,amaultbynj@edu.com,Portugal,no,Femenino,Casado,no,no,no,0.0
amayburyjx,kbx62v.sH,Alecia Maybury,amayburyjx@edu.com,Portugal,no,Masculino,Divorciado,si,no,no,0.0
amayers2q,sQ8BnHo3|JrTEi,Andi Mayers,amayers2q@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
amcavincheyf7,qnr92+,Annora McAvinchey,amcavincheyf7@edu.com,Portugal,no,Masculino,Soltero,si,no,no,0.0
amcdonnell35,lG7V2q}=mxR,Arlana McDonnell,amcdonnell35@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
amceneryja,evp68A~s,Angele McEnery,amceneryja@edu.com,Portugal,no,Masculino,Casado,no,no,si,0.0
amcmasterb1,rP3Q??d<>!q7,Ammamaria McMaster,amcmasterb1@edu.com,Portugal,no,Femenino,Soltero,si,si,no,3.0
